日,時,分,區,死,受傷,事故類型及型態,受傷程度,駕駛資格情形,飲酒情形,肇事逃逸,事故類別
1,0,5,西區,0,1,15,2,1,2,1,2
1,0,24,沙鹿區,0,0,,,1,2,1,3
1,1,0,后里區,0,1,18,,,,1,2
1,1,43,龍井區,0,0,,,1,10,1,3
1,1,53,太平區,0,1,9,3,1,7,1,2
1,3,42,北區,0,0,,,1,2,1,3
1,3,56,北屯區,0,0,,,6,2,1,3
1,5,20,清水區,0,0,26,3,1,1,1,3
1,5,45,西屯區,0,0,,,1,2,1,3
1,5,53,大安區,0,0,,,1,2,1,3
1,5,56,清水區,0,0,16,3,1,1,1,3
1,6,13,神岡區,0,1,17,3,1,2,1,2
1,6,16,大甲區,0,2,17,2,1,2,1,2
1,6,41,中區,0,2,15,2,1,2,1,2
1,6,45,南屯區,0,2,15,2,1,2,1,2
1,6,50,大甲區,0,1,17,3,1,2,1,2
1,6,53,北屯區,0,0,,,1,1,1,3
1,7,0,南區,0,1,17,3,1,2,1,2
1,7,2,北屯區,0,0,,,1,1,1,3
1,7,5,霧峰區,0,1,13,3,1,2,1,2
1,7,6,西屯區,0,2,9,2,1,2,1,2
1,7,8,大里區,0,0,,,1,2,1,3
1,7,12,大甲區,0,1,15,2,1,2,1,2
1,7,15,大甲區,0,3,17,2,1,2,1,2
1,7,15,大甲區,0,2,12,2,1,2,1,2
1,7,16,龍井區,0,0,,,1,2,1,3
1,7,17,北區,0,2,3,2,8,10,1,2
1,7,18,南屯區,0,1,16,3,1,2,1,2
1,7,19,南屯區,0,1,12,3,1,2,1,2
1,7,22,梧棲區,0,1,15,2,3,2,1,2
1,7,22,豐原區,0,1,17,3,1,2,1,2
1,7,23,神岡區,0,2,16,2,8,2,1,2
1,7,24,西屯區,0,1,17,3,1,2,1,2
1,7,25,沙鹿區,0,0,13,3,1,2,1,3
1,7,26,中區,0,1,13,2,1,2,1,2
1,7,27,龍井區,0,1,13,2,1,2,1,2
1,7,29,太平區,0,0,,,1,2,1,3
1,7,30,大里區,0,0,,,1,2,1,3
1,7,33,大甲區,0,0,,,1,2,1,3
1,7,33,豐原區,0,1,16,3,1,2,1,2
1,7,35,神岡區,0,1,17,3,1,2,1,2
1,7,36,大雅區,0,0,,,1,2,1,3
1,7,36,西屯區,0,1,17,2,1,2,1,2
1,7,40,北屯區,0,0,,,1,1,1,3
1,7,40,霧峰區,0,0,,,,,1,3
1,7,40,大甲區,0,2,12,2,1,2,1,2
1,7,40,大甲區,0,0,,,1,1,1,3
1,7,40,神岡區,0,1,15,2,4,2,1,2
1,7,41,北屯區,0,0,,,1,1,1,3
1,7,44,西屯區,0,0,,,1,1,1,3
1,7,44,烏日區,0,0,,,1,2,1,3
1,7,44,沙鹿區,0,1,12,3,1,2,1,2
1,7,45,大雅區,0,1,17,3,1,2,1,2
1,7,45,大里區,0,1,16,3,1,2,1,2
1,7,50,大里區,0,1,17,2,1,2,1,2
1,7,50,沙鹿區,0,1,16,3,1,2,1,2
1,7,50,后里區,0,0,12,,1,2,1,3
1,7,52,梧棲區,0,0,,,1,2,1,3
1,7,53,南屯區,0,2,17,2,1,2,1,2
1,7,54,北屯區,0,0,,,1,1,1,3
1,7,54,神岡區,0,2,16,2,1,2,1,2
1,7,57,南屯區,0,1,13,2,4,2,1,2
1,7,57,西屯區,0,1,12,3,1,2,1,2
1,7,57,神岡區,0,1,16,2,1,2,1,2
1,7,59,北區,0,0,,,1,1,1,3
1,8,0,北屯區,0,1,16,2,1,2,1,2
1,8,1,大肚區,0,0,,,1,2,1,3
1,8,3,西屯區,0,0,,,1,1,1,3
1,8,3,龍井區,0,2,13,2,1,2,1,2
1,8,6,太平區,0,0,,,1,3,1,3
1,8,8,西區,0,0,,,1,1,1,3
1,8,10,大里區,0,2,11,2,1,2,1,2
1,8,10,大里區,0,0,,,1,2,1,3
1,8,10,龍井區,0,0,,,1,2,2,3
1,8,10,大甲區,0,1,13,2,1,2,1,2
1,8,13,龍井區,0,3,13,2,1,2,1,2
1,8,15,南屯區,0,2,17,2,1,2,1,2
1,8,21,北屯區,0,0,,,1,1,1,3
1,8,25,南屯區,0,3,13,2,1,2,1,2
1,8,26,梧棲區,0,1,15,3,1,2,1,2
1,8,28,大雅區,0,1,17,2,1,2,1,2
